Lookup	ID	Ndex	Species	Forme	Type1	Type2	Ability1	Ability2	AbilityH	HP	Attack	Defense	SpAttack	SpDefense	Speed	Total	Weight	Height	Dex1	Dex2	Class	%Male	%Female	Pre-Evolution	Egg Group 1	Egg Group 2	Type Concat	Ability Concat
Bulbasaur	1	1	Bulbasaur	Bulbasaur	Grass	Poison	Overgrow	#N/A	Chlorophyll	45	49	49	65	65	45	318	15.2 lbs.	2'04"			Seed Pokémon	0.875	0.125	#N/A	Monster	Grass	Grass / Poison	Overgrow / Chlorophyll*
Ivysaur	2	2	Ivysaur	Ivysaur	Grass	Poison	Overgrow	#N/A	Chlorophyll	60	62	63	80	80	60	405	28.7 lbs.	3'03"			Seed Pokémon	0.875	0.125	Bulbasaur	Monster	Grass	Grass / Poison	Overgrow / Chlorophyll*
Venusaur	3	3	Venusaur	Venusaur	Grass	Poison	Overgrow	#N/A	Chlorophyll	80	82	83	100	100	80	525	220.5 lbs.	6'07"			Seed Pokémon	0.875	0.125	Ivysaur	Monster	Grass	Grass / Poison	Overgrow / Chlorophyll*
Charmander	4	4	Charmander	Charmander	Fire	#N/A	Blaze	#N/A	Solar Power	39	52	43	60	50	65	309	18.7 lbs.	2'00"			Lizard Pokémon	0.875	0.125	#N/A	Monster	Dragon	Fire	Blaze / Solar Power*
Charmeleon	5	5	Charmeleon	Charmeleon	Fire	#N/A	Blaze	#N/A	Solar Power	58	64	58	80	65	80	405	41.9 lbs.	3'07"			Flame Pokémon	0.875	0.125	Charmander	Monster	Dragon	Fire	Blaze / Solar Power*
Charizard	6	6	Charizard	Charizard	Fire	Flying	Blaze	#N/A	Solar Power	78	84	78	109	85	100	534	199.5 lbs.	5'07"			Flame Pokémon	0.875	0.125	Charmeleon	Monster	Dragon	Fire / Flying	Blaze / Solar Power*
Squirtle	7	7	Squirtle	Squirtle	Water	#N/A	Torrent	#N/A	Rain Dish	44	48	65	50	64	43	314	19.8 lbs.	1'08"			Tiny Turtle Pokémon	0.875	0.125	#N/A	Monster	Water 1	Water	Torrent / Rain Dish*
Wartortle	8	8	Wartortle	Wartortle	Water	#N/A	Torrent	#N/A	Rain Dish	59	63	80	65	80	58	405	49.6 lbs.	3'03"			Turtle Pokémon	0.875	0.125	Squirtle	Monster	Water 1	Water	Torrent / Rain Dish*
Blastoise	9	9	Blastoise	Blastoise	Water	#N/A	Torrent	#N/A	Rain Dish	79	83	100	85	105	78	530	188.5 lbs.	5'03"			Shellfish Pokémon	0.875	0.125	Wartortle	Monster	Water 1	Water	Torrent / Rain Dish*
Caterpie	10	10	Caterpie	Caterpie	Bug	#N/A	Shield Dust	#N/A	Run Away	45	30	35	20	20	45	195	6.4 lbs.	1'00"	When attacked by bird Pokémon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey.	It's easy to catch, and it grows quickly, making it one of the top recommendations for novice Pokémon Trainers.	Worm Pokémon	0.5	0.5	#N/A	Bug	#N/A	Bug	Shield Dust / Run Away*
Metapod	11	11	Metapod	Metapod	Bug	#N/A	Shed Skin	#N/A	#N/A	50	20	55	25	25	30	205	21.8 lbs.	2'04"	Its shell is filled with its soft innards. It doesn't move much because of the risk it might carelessly spill its innards out.	Its shell is hard, but it's still just a bug shell. It's been known to break, so intense battles with it should be avoided.	Cocoon Pokémon	0.5	0.5	Caterpie	Bug	#N/A	Bug	Shed Skin
Butterfree	12	12	Butterfree	Butterfree	Bug	Flying	Compound Eyes	#N/A	Tinted Lens	60	45	50	90	80	70	395	70.5 lbs.	3'07"	Close examination of its large eyes reveals that each eye is composed of a myriad of tiny eyes.	When attacked by other Pokémon, it defends itself by scattering its poisonous scales and fluttering its wings.	Butterfly Pokémon	0.5	0.5	Metapod	Bug	#N/A	Bug / Flying	Compound Eyes / Tinted Lens*
Weedle	13	13	Weedle	Weedle	Bug	Poison	Shield Dust	#N/A	Run Away	40	35	30	20	20	50	195	7.1 lbs.	1'00"			Hairy Bug Pokémon	0.5	0.5	#N/A	Bug	#N/A	Bug / Poison	Shield Dust / Run Away*
Kakuna	14	14	Kakuna	Kakuna	Bug	Poison	Shed Skin	Shed Skin	#N/A	45	25	50	25	25	35	205	22.0 lbs.	2'00"			Cocoon Pokémon	0.5	0.5	Weedle	Bug	#N/A	Bug / Poison	Shed Skin
Beedrill	15	15	Beedrill	Beedrill	Bug	Poison	Swarm	Swarm	Sniper	65	90	40	45	80	75	395	65.0 lbs.	3'03"			Poison Bee Pokémon	0.5	0.5	Kakuna	Bug	#N/A	Bug / Poison	Swarm / Sniper*
Pidgey	16	16	Pidgey	Pidgey	Normal	Flying	Keen Eye	Tangled Feet	Big Pecks	40	45	40	35	35	56	251	4.0 lbs.	1'00"			Tiny Bird Pokémon	0.5	0.5	#N/A	Flying	#N/A	Normal / Flying	Keen Eye / Tangled Feet / Big Pecks*
Pidgeotto	17	17	Pidgeotto	Pidgeotto	Normal	Flying	Keen Eye	Tangled Feet	Big Pecks	63	60	55	50	50	71	349	66.1 lbs.	3'07"			Bird Pokémon	0.5	0.5	Pidgey	Flying	#N/A	Normal / Flying	Keen Eye / Tangled Feet / Big Pecks*
Pidgeot	18	18	Pidgeot	Pidgeot	Normal	Flying	Keen Eye	Tangled Feet	Big Pecks	83	80	75	70	70	101	479	87.1 lbs.	4'11"			Bird Pokémon	0.5	0.5	Pidgeotto	Flying	#N/A	Normal / Flying	Keen Eye / Tangled Feet / Big Pecks*
Rattata	19	19	Rattata	Rattata	Normal	#N/A	Run Away	Guts	Hustle	30	56	35	25	35	72	253	7.7 lbs.	1'00"	Its incisors continue growing until its death. If its Trainer doesn't offer it a file to gnaw on, it will gnaw on door frames, table legs, and so on.	With their strong capacity for survival, they can live in dirty places without concern. Left unchecked, their numbers multiply rapidly.	Mouse Pokémon	0.5	0.5	#N/A	Field	#N/A	Normal	Run Away / Guts / Hustle*
Raticate	20	20	Raticate	Raticate	Normal	#N/A	Run Away	Guts	Hustle	55	81	60	50	70	97	413	40.8 lbs.	2'04"	Its hind feet are webbed, so it's a strong swimmer. It can cross rivers and sometimes even oceans.	Its disposition is far more violent than its looks would suggest. Don't let your hand get too close to its face, as it could bite your hand clean off.	Mouse Pokémon	0.5	0.5	Rattata	Field	#N/A	Normal	Run Away / Guts / Hustle*
Spearow	21	21	Spearow	Spearow	Normal	Flying	Keen Eye	Keen Eye	Sniper	40	60	30	31	31	70	262	4.4 lbs.	1'00"	Its short wings make it inept at flying. It moves about hurriedly and pecks at Bug-type Pokémon in the tall grass.	Farmers whose fields are troubled by bug Pokémon appreciate Spearow for its vigorous appetite and look after it.	Tiny Bird Pokémon	0.5	0.5	#N/A	Flying	#N/A	Normal / Flying	Keen Eye / Sniper*
Fearow	22	22	Fearow	Fearow	Normal	Flying	Keen Eye	Keen Eye	Sniper	65	90	65	61	61	100	442	83.8 lbs.	3'11"	It's tough and has excellent stamina. It has no problem flying continuously for a whole day carrying a heavy load.	Drawings of a Pokémon resembling Fearow can be seen in murals from deep in ancient history.	Beak Pokémon	0.5	0.5	Spearow	Flying	#N/A	Normal / Flying	Keen Eye / Sniper*
Ekans	23	23	Ekans	Ekans	Poison	#N/A	Intimidate	Shed Skin	Unnerve	35	60	44	40	54	55	288	15.2 lbs.	6'07"			Snake Pokémon	0.5	0.5	#N/A	Field	Dragon	Poison	Intimidate / Shed Skin / Unnerve*
Arbok	24	24	Arbok	Arbok	Poison	#N/A	Intimidate	Shed Skin	Unnerve	60	95	69	65	79	80	448	143.3 lbs.	11'06"			Cobra Pokémon	0.5	0.5	Ekans	Field	Dragon	Poison	Intimidate / Shed Skin / Unnerve*
Pikachu	25	25	Pikachu	Pikachu	Electric	#N/A	Static	Static	Lightning Rod	35	55	40	50	50	90	320	13.2 lbs.	1'04"	A plan was recently announced to gather many Pikachu and make an electric power plant.	It's in its nature to store electricity. It feels stressed now and then if it's unable to fully discharge the electricity.	Mouse Pokémon	0.5	0.5	Pichu	Field	Fairy	Electric	Static / Lightning Rod*
Raichu	26	26	Raichu	Raichu	Electric	#N/A	Static	Static	Lightning Rod	60	90	55	90	80	110	485	66.1 lbs.	2'07"	It unleashes electric shocks that can reach 100,000 volts. When agitated, it can knock out even an Indian elephant.	It becomes aggressive when it has electricity stored up. At such times, even its Trainer has to take care to avoid being attacked.	Mouse Pokémon	0.5	0.5	Pikachu	Field	Fairy	Electric	Static / Lightning Rod*
Sandshrew	27	27	Sandshrew	Sandshrew	Ground	#N/A	Sand Veil	#N/A	Sand Rush	50	75	85	20	30	40	300	26.5 lbs.	2'00"	It can roll its body into a ball. It moves through the desert by rolling at high speeds.	It usually makes its home in deserts and arid zones, where rain does not fall. It digs holes to catch Bug-type Pokémon.	Mouse Pokémon	0.5	0.5	#N/A	Field	#N/A	Ground	Sand Veil / Sand Rush*
Sandslash	28	28	Sandslash	Sandslash	Ground	#N/A	Sand Veil	#N/A	Sand Rush	75	100	110	45	55	65	450	65.0 lbs.	3'03"	Although they are sharp, its claws and spikes often break off. They grow back the next day, so it is not bothered by the temporary loss.	It uses its claws to climb trees and then curls its body into a spiny ball, ready to drop onto any prey that appears.	Mouse Pokémon	0.5	0.5	Sandshrew	Field	#N/A	Ground	Sand Veil / Sand Rush*
Nidoran♀	29	29	Nidoran♀	Nidoran♀	Poison	#N/A	Poison Point	Rivalry	Hustle	55	47	52	40	40	41	275	15.4 lbs.	1'04"			Poison Pin Pokémon	0	1	#N/A	Monster	Field	Poison	Poison Point / Rivalry / Hustle*
Nidorina	30	30	Nidorina	Nidorina	Poison	#N/A	Poison Point	Rivalry	Hustle	70	62	67	55	55	56	365	44.1 lbs.	2'07"			Poison Pin Pokémon	0	1	Nidoran♀	Undiscovered	#N/A	Poison	Poison Point / Rivalry / Hustle*
Nidoqueen	31	31	Nidoqueen	Nidoqueen	Poison	Ground	Poison Point	Rivalry	Sheer Force	90	92	87	75	85	76	505	132.3 lbs.	4'03"			Drill Pokémon	0	1	Nidorina	Undiscovered	#N/A	Poison / Ground	Poison Point / Rivalry / Sheer Force*
Nidoran♂	32	32	Nidoran♂	Nidoran♂	Poison	#N/A	Poison Point	Rivalry	Hustle	46	57	40	40	40	50	273	19.8 lbs.	1'08"			Poison Pin Pokémon	1	0	#N/A	Monster	Field	Poison	Poison Point / Rivalry / Hustle*
Nidorino	33	33	Nidorino	Nidorino	Poison	#N/A	Poison Point	Rivalry	Hustle	61	72	57	55	55	65	365	43.0 lbs.	2'11"			Poison Pin Pokémon	1	0	Nidoran♂	Monster	Field	Poison	Poison Point / Rivalry / Hustle*
Nidoking	34	34	Nidoking	Nidoking	Poison	Ground	Poison Point	Rivalry	Sheer Force	81	102	77	85	75	85	505	136.7 lbs.	4'07"			Drill Pokémon	1	0	Nidorino	Monster	Field	Poison / Ground	Poison Point / Rivalry / Sheer Force*
Clefairy	35	35	Clefairy	Clefairy	Fairy	#N/A	Cute Charm	Magic Guard	Friend Guard	70	45	48	60	65	35	323	16.5 lbs.	2'00"	Its adorable behavior and appearance make it popular with men and women, young and old. Its numbers are few, however.	On nights with a full moon, they gather together and dance. The surrounding area is enveloped in an abnormal magnetic field.	Fairy Pokémon	0.25	0.75	Cleffa	Fairy	#N/A	Fairy	Cute Charm / Magic Guard / Friend Guard*
